series_type,date,ron95,ron97,diesel,diesel_eastmsia
change_weekly,2021/12/16,0,0.009999999999999787,0,0
change_weekly,2021/12/23,0,-0.01,0,0
change_weekly,2021/12/30,0,0.009999999999999787,0,0
change_weekly,2022/1/6,0,0.029999999999999805,0,0
change_weekly,2022/1/13,0,0.040000000000000036,0,0
change_weekly,2022/1/20,0,0,0,0
change_weekly,2022/1/27,0,0.050000000000000266,0,0
change_weekly,2022/2/3,0,0,0,0
change_weekly,2022/2/10,0,0.08999999999999986,0,0
change_weekly,2022/2/17,0,0.06000000000000005,0,0
change_weekly,2022/2/24,0,0.020000000000000018,0,0
change_weekly,2022/3/3,0,0.16000000000000014,0,0
change_weekly,2022/3/10,0,0.2999999999999998,0,0
change_weekly,2022/3/17,0,0.25,0,0
change_weekly,2022/3/24,0,-0.17,0,0
change_weekly,2022/3/31,0,0.08000000000000007,0,0
change_weekly,2022/4/7,0,-0.1,0,0
change_weekly,2022/4/14,0,0,0,0
change_weekly,2022/4/21,0,0,0,0
change_weekly,2022/4/28,0,0.1299999999999999,0,0
change_weekly,2022/5/5,0,0,0,0
change_weekly,2022/5/12,0,0.36999999999999966,0,0
change_weekly,2022/5/19,0,0.020000000000000462,0,0
change_weekly,2022/5/26,0,0.3700000000000001,0,0
change_weekly,2022/6/2,0,0,0,0
